case_id,land_id,case_status,case_description,court_name
C001,L001,CLOSED,Ownership issue resolved,High Court
C002,L002,CLOSED,Ownership issue resolved,High Court
C003,L003,CLOSED,Ownership issue resolved,High Court
C004,L004,ONGOING,Boundary dispute ongoing,District Court
C005,L005,ONGOING,Boundary dispute ongoing,District Court
C006,L007,ONGOING,Boundary dispute ongoing,District Court
C007,L009,ONGOING,Boundary dispute ongoing,District Court
C008,L010,ONGOING,Boundary dispute ongoing,District Court
C009,L011,ONGOING,Boundary dispute ongoing,District Court
C010,L014,ONGOING,Boundary dispute ongoing,District Court
C011,L017,CLOSED,Ownership issue resolved,High Court
C012,L021,CLOSED,Ownership issue resolved,High Court
C013,L022,CLOSED,Ownership issue resolved,High Court
C014,L023,CLOSED,Ownership issue resolved,High Court
C015,L025,ONGOING,Boundary dispute ongoing,District Court
C016,L026,CLOSED,Ownership issue resolved,High Court
C017,L027,CLOSED,Ownership issue resolved,High Court
C018,L028,CLOSED,Ownership issue resolved,High Court
C019,L029,CLOSED,Ownership issue resolved,High Court
C020,L030,ONGOING,Boundary dispute ongoing,District Court
C021,L035,ONGOING,Boundary dispute ongoing,District Court
C022,L038,CLOSED,Ownership issue resolved,High Court
C023,L040,ONGOING,Boundary dispute ongoing,District Court
C024,L041,CLOSED,Ownership issue resolved,High Court
C025,L043,ONGOING,Boundary dispute ongoing,District Court
C026,L048,CLOSED,Ownership issue resolved,High Court
C027,L049,CLOSED,Ownership issue resolved,High Court
C028,L050,CLOSED,Ownership issue resolved,High Court
C029,L051,CLOSED,Ownership issue resolved,High Court
C030,L052,ONGOING,Boundary dispute ongoing,District Court
C031,L053,ONGOING,Boundary dispute ongoing,District Court
C032,L055,ONGOING,Boundary dispute ongoing,District Court
C033,L056,CLOSED,Ownership issue resolved,High Court
C034,L058,ONGOING,Boundary dispute ongoing,District Court
C035,L059,CLOSED,Ownership issue resolved,High Court
C036,L060,CLOSED,Ownership issue resolved,High Court
C037,L061,ONGOING,Boundary dispute ongoing,District Court
C038,L062,ONGOING,Boundary dispute ongoing,District Court
C039,L065,ONGOING,Boundary dispute ongoing,District Court
C040,L067,ONGOING,Boundary dispute ongoing,District Court
C041,L069,ONGOING,Boundary dispute ongoing,District Court
C042,L070,CLOSED,Ownership issue resolved,High Court
C043,L071,ONGOING,Boundary dispute ongoing,District Court
C044,L072,CLOSED,Ownership issue resolved,High Court
C045,L073,CLOSED,Ownership issue resolved,High Court
C046,L074,ONGOING,Boundary dispute ongoing,District Court
C047,L076,ONGOING,Boundary dispute ongoing,District Court
C048,L077,CLOSED,Ownership issue resolved,High Court
C049,L078,ONGOING,Boundary dispute ongoing,District Court
C050,L081,ONGOING,Boundary dispute ongoing,District Court
C051,L082,CLOSED,Ownership issue resolved,High Court
C052,L083,ONGOING,Boundary dispute ongoing,District Court
C053,L084,CLOSED,Ownership issue resolved,High Court
C054,L085,CLOSED,Ownership issue resolved,High Court
C055,L086,CLOSED,Ownership issue resolved,High Court
C056,L087,ONGOING,Boundary dispute ongoing,District Court
C057,L089,CLOSED,Ownership issue resolved,High Court
C058,L090,CLOSED,Ownership issue resolved,High Court
C059,L093,CLOSED,Ownership issue resolved,High Court
C060,L095,CLOSED,Ownership issue resolved,High Court
C061,L096,CLOSED,Ownership issue resolved,High Court
C062,L097,CLOSED,Ownership issue resolved,High Court
C063,L098,CLOSED,Ownership issue resolved,High Court
C064,L099,CLOSED,Ownership issue resolved,High Court
C065,L100,CLOSED,Ownership issue resolved,High Court
C066,L102,ONGOING,Boundary dispute ongoing,District Court
C067,L104,ONGOING,Boundary dispute ongoing,District Court
C068,L106,ONGOING,Boundary dispute ongoing,District Court
C069,L107,ONGOING,Boundary dispute ongoing,District Court
C070,L109,CLOSED,Ownership issue resolved,High Court
C071,L110,CLOSED,Ownership issue resolved,High Court
C072,L111,ONGOING,Boundary dispute ongoing,District Court
C073,L112,CLOSED,Boundary dispute ongoing,District Court
C074,L113,ONGOING,Boundary dispute ongoing,District Court
C075,L114,CLOSED,Ownership issue resolved,High Court
C076,L116,CLOSED,Ownership issue resolved,High Court
C077,L117,CLOSED,Ownership issue resolved,High Court
C078,L118,CLOSED,Ownership issue resolved,High Court
C079,L119,CLOSED,Ownership issue resolved,High Court
C080,L120,CLOSED,Ownership issue resolved,High Court
C081,L121,ONGOING,Boundary dispute ongoing,District Court
C082,L122,ONGOING,Boundary dispute ongoing,District Court
C083,L123,ONGOING,Boundary dispute ongoing,District Court
C084,L124,CLOSED,Ownership issue resolved,High Court
C085,L125,CLOSED,Ownership issue resolved,High Court
C086,L127,CLOSED,Ownership issue resolved,High Court
C087,L129,ONGOING,Boundary dispute ongoing,District Court
C088,L131,ONGOING,Boundary dispute ongoing,District Court
C089,L132,CLOSED,Ownership issue resolved,High Court
C090,L133,CLOSED,Ownership issue resolved,High Court
C091,L134,ONGOING,Boundary dispute ongoing,District Court
C092,L136,CLOSED,Ownership issue resolved,High Court
C093,L138,CLOSED,Ownership issue resolved,High Court
C094,L139,CLOSED,Ownership issue resolved,High Court
C095,L141,ONGOING,Boundary dispute ongoing,District Court
C096,L142,CLOSED,Ownership issue resolved,High Court
C097,L143,CLOSED,Ownership issue resolved,High Court
C098,L144,CLOSED,Ownership issue resolved,High Court
C099,L145,ONGOING,Boundary dispute ongoing,District Court
C100,L146,ONGOING,Boundary dispute ongoing,District Court
C101,L148,ONGOING,Boundary dispute ongoing,District Court
C102,L149,CLOSED,Ownership issue resolved,High Court
C103,L150,ONGOING,Boundary dispute ongoing,District Court
C104,L151,CLOSED,Ownership issue resolved,High Court
C105,L152,CLOSED,Ownership issue resolved,High Court
C106,L154,CLOSED,Ownership issue resolved,High Court
C107,L155,ONGOING,Boundary dispute ongoing,District Court
C108,L156,ONGOING,Boundary dispute ongoing,District Court
C109,L157,CLOSED,Ownership issue resolved,High Court
C110,L158,ONGOING,Boundary dispute ongoing,District Court
C111,L159,CLOSED,Ownership issue resolved,High Court
C112,L161,ONGOING,Boundary dispute ongoing,District Court
C113,L164,ONGOING,Boundary dispute ongoing,District Court
C114,L170,ONGOING,Boundary dispute ongoing,District Court
C115,L171,CLOSED,Ownership issue resolved,High Court
C116,L173,CLOSED,Ownership issue resolved,High Court
C117,L175,ONGOING,Boundary dispute ongoing,District Court
C118,L177,CLOSED,Ownership issue resolved,High Court
C119,L178,CLOSED,Ownership issue resolved,High Court
C120,L180,CLOSED,Ownership issue resolved,High Court
C121,L181,CLOSED,Ownership issue resolved,High Court
C122,L183,ONGOING,Boundary dispute ongoing,District Court
C123,L184,ONGOING,Boundary dispute ongoing,District Court
C124,L186,CLOSED,Ownership issue resolved,High Court
C125,L187,CLOSED,Ownership issue resolved,High Court
C126,L189,ONGOING,Boundary dispute ongoing,District Court
C127,L190,CLOSED,Ownership issue resolved,High Court
C128,L191,ONGOING,Boundary dispute ongoing,District Court
C129,L192,ONGOING,Boundary dispute ongoing,District Court
C130,L195,ONGOING,Boundary dispute ongoing,District Court
C131,L197,ONGOING,Boundary dispute ongoing,District Court
C132,L198,CLOSED,Ownership issue resolved,High Court
C133,L199,CLOSED,Ownership issue resolved,High Court
C134,L200,CLOSED,Ownership issue resolved,High Court
C135,L202,CLOSED,Ownership issue resolved,High Court
C136,L203,ONGOING,Boundary dispute ongoing,District Court
C137,L205,ONGOING,Boundary dispute ongoing,District Court
C138,L206,ONGOING,Boundary dispute ongoing,District Court
C139,L207,ONGOING,Boundary dispute ongoing,District Court
C140,L208,CLOSED,Ownership issue resolved,High Court
C141,L209,ONGOING,Boundary dispute ongoing,District Court
C142,L210,CLOSED,Ownership issue resolved,High Court
C143,L211,ONGOING,Boundary dispute ongoing,District Court
C144,L212,CLOSED,Ownership issue resolved,High Court
C145,L213,ONGOING,Boundary dispute ongoing,District Court
C146,L214,ONGOING,Boundary dispute ongoing,District Court
C147,L216,CLOSED,Ownership issue resolved,High Court
C148,L217,CLOSED,Ownership issue resolved,High Court
C149,L219,CLOSED,Ownership issue resolved,High Court
C150,L220,ONGOING,Boundary dispute ongoing,District Court
C151,L221,ONGOING,Boundary dispute ongoing,District Court
C152,L223,CLOSED,Ownership issue resolved,High Court
C153,L225,ONGOING,Boundary dispute ongoing,District Court
C154,L226,ONGOING,Boundary dispute ongoing,District Court
C155,L229,CLOSED,Ownership issue resolved,High Court
C156,L230,ONGOING,Boundary dispute ongoing,District Court
C157,L232,ONGOING,Boundary dispute ongoing,District Court
C158,L233,CLOSED,Ownership issue resolved,High Court
C159,L234,CLOSED,Ownership issue resolved,High Court
C160,L235,CLOSED,Ownership issue resolved,High Court
C161,L237,CLOSED,Ownership issue resolved,High Court
C162,L238,ONGOING,Boundary dispute ongoing,District Court
C163,L239,CLOSED,Ownership issue resolved,High Court
C164,L240,CLOSED,Ownership issue resolved,High Court
C165,L241,CLOSED,Ownership issue resolved,High Court
C166,L242,ONGOING,Boundary dispute ongoing,District Court
C167,L244,CLOSED,Ownership issue resolved,High Court
C168,L246,CLOSED,Ownership issue resolved,High Court
C169,L248,CLOSED,Ownership issue resolved,High Court
C170,L249,ONGOING,Boundary dispute ongoing,District Court
C171,L250,CLOSED,Ownership issue resolved,High Court
C172,L251,CLOSED,Ownership issue resolved,High Court
C173,L253,CLOSED,Ownership issue resolved,High Court
C174,L254,CLOSED,Ownership issue resolved,High Court
C175,L256,ONGOING,Boundary dispute ongoing,District Court
C176,L258,ONGOING,Boundary dispute ongoing,District Court
C177,L260,CLOSED,Ownership issue resolved,High Court
C178,L262,CLOSED,Ownership issue resolved,High Court
C179,L263,ONGOING,Boundary dispute ongoing,District Court
C180,L267,ONGOING,Boundary dispute ongoing,District Court
C181,L269,CLOSED,Ownership issue resolved,High Court
C182,L270,CLOSED,Ownership issue resolved,High Court
C183,L271,CLOSED,Ownership issue resolved,High Court
C184,L274,ONGOING,Boundary dispute ongoing,District Court
C185,L275,CLOSED,Ownership issue resolved,High Court
C186,L276,CLOSED,Ownership issue resolved,High Court
C187,L279,ONGOING,Boundary dispute ongoing,District Court
C188,L280,ONGOING,Boundary dispute ongoing,District Court
C189,L281,CLOSED,Ownership issue resolved,High Court
C190,L282,CLOSED,Ownership issue resolved,High Court
C191,L284,CLOSED,Ownership issue resolved,High Court
C192,L285,CLOSED,Ownership issue resolved,High Court
C193,L286,ONGOING,Boundary dispute ongoing,District Court
C194,L287,CLOSED,Ownership issue resolved,High Court
C195,L288,CLOSED,Ownership issue resolved,High Court
C196,L289,ONGOING,Boundary dispute ongoing,District Court
C197,L290,ONGOING,Boundary dispute ongoing,District Court
C198,L291,CLOSED,Ownership issue resolved,High Court
C199,L292,ONGOING,Boundary dispute ongoing,District Court
C200,L293,ONGOING,Boundary dispute ongoing,District Court
C201,L294,ONGOING,Boundary dispute ongoing,District Court
C202,L296,CLOSED,Ownership issue resolved,High Court
C203,L298,ONGOING,Boundary dispute ongoing,District Court
C204,L299,CLOSED,Ownership issue resolved,High Court
C205,L301,ONGOING,Boundary dispute ongoing,District Court
C206,L306,CLOSED,Ownership issue resolved,High Court
C207,L307,ONGOING,Boundary dispute ongoing,District Court
C208,L308,ONGOING,Boundary dispute ongoing,District Court
C209,L310,ONGOING,Boundary dispute ongoing,District Court
C210,L311,CLOSED,Ownership issue resolved,High Court
C211,L314,CLOSED,Ownership issue resolved,High Court
C212,L315,ONGOING,Boundary dispute ongoing,District Court
C213,L316,CLOSED,Ownership issue resolved,High Court
C214,L317,ONGOING,Boundary dispute ongoing,District Court
C215,L318,ONGOING,Boundary dispute ongoing,District Court
C216,L319,CLOSED,Ownership issue resolved,High Court
C217,L321,CLOSED,Ownership issue resolved,High Court
C218,L323,ONGOING,Boundary dispute ongoing,District Court
C219,L325,ONGOING,Boundary dispute ongoing,District Court
C220,L326,ONGOING,Boundary dispute ongoing,District Court
C221,L327,CLOSED,Ownership issue resolved,High Court
C222,L329,ONGOING,Boundary dispute ongoing,District Court
C223,L330,CLOSED,Ownership issue resolved,High Court
C224,L331,ONGOING,Boundary dispute ongoing,District Court
C225,L333,CLOSED,Ownership issue resolved,High Court
C226,L334,ONGOING,Boundary dispute ongoing,District Court
C227,L335,ONGOING,Boundary dispute ongoing,District Court
C228,L337,CLOSED,Ownership issue resolved,High Court
C229,L339,ONGOING,Boundary dispute ongoing,District Court
C230,L340,ONGOING,Boundary dispute ongoing,District Court
C231,L341,CLOSED,Ownership issue resolved,High Court
C232,L342,ONGOING,Boundary dispute ongoing,District Court
C233,L343,CLOSED,Ownership issue resolved,High Court
C234,L344,CLOSED,Ownership issue resolved,High Court
C235,L345,ONGOING,Boundary dispute ongoing,District Court
C236,L347,CLOSED,Ownership issue resolved,High Court
C237,L348,CLOSED,Ownership issue resolved,High Court
C238,L349,CLOSED,Ownership issue resolved,High Court
C239,L350,CLOSED,Ownership issue resolved,High Court
C240,L353,CLOSED,Ownership issue resolved,High Court
C241,L354,ONGOING,Boundary dispute ongoing,District Court
C242,L355,CLOSED,Ownership issue resolved,High Court
C243,L358,CLOSED,Ownership issue resolved,High Court
C244,L359,ONGOING,Boundary dispute ongoing,District Court
C245,L361,ONGOING,Boundary dispute ongoing,District Court
C246,L362,ONGOING,Boundary dispute ongoing,District Court
C247,L366,CLOSED,Ownership issue resolved,High Court
C248,L367,CLOSED,Ownership issue resolved,High Court
C249,L369,CLOSED,Ownership issue resolved,High Court
C250,L371,ONGOING,Boundary dispute ongoing,District Court
C251,L372,ONGOING,Boundary dispute ongoing,District Court
C252,L374,CLOSED,Ownership issue resolved,High Court
C253,L375,CLOSED,Ownership issue resolved,High Court
C254,L377,ONGOING,Boundary dispute ongoing,District Court
C255,L378,ONGOING,Boundary dispute ongoing,District Court
C256,L379,CLOSED,Ownership issue resolved,High Court
C257,L380,CLOSED,Ownership issue resolved,High Court
C258,L382,CLOSED,Ownership issue resolved,High Court
C259,L385,ONGOING,Boundary dispute ongoing,District Court
C260,L387,CLOSED,Ownership issue resolved,High Court
C261,L388,ONGOING,Boundary dispute ongoing,District Court
C262,L389,CLOSED,Ownership issue resolved,High Court
C263,L390,CLOSED,Ownership issue resolved,High Court
C264,L392,ONGOING,Boundary dispute ongoing,District Court
C265,L393,CLOSED,Ownership issue resolved,High Court
C266,L395,CLOSED,Ownership issue resolved,High Court
C267,L396,CLOSED,Ownership issue resolved,High Court
C268,L397,ONGOING,Boundary dispute ongoing,District Court
C269,L400,CLOSED,Ownership issue resolved,High Court
C270,L405,CLOSED,Ownership issue resolved,High Court
C271,L406,ONGOING,Boundary dispute ongoing,District Court
C272,L407,CLOSED,Ownership issue resolved,High Court
C273,L409,ONGOING,Boundary dispute ongoing,District Court
C274,L410,CLOSED,Ownership issue resolved,High Court
C275,L411,ONGOING,Boundary dispute ongoing,District Court
C276,L412,CLOSED,Ownership issue resolved,High Court
C277,L413,CLOSED,Ownership issue resolved,High Court
C278,L414,ONGOING,Boundary dispute ongoing,District Court
C279,L415,CLOSED,Ownership issue resolved,High Court
C280,L417,ONGOING,Ownership issue resolved,High Court
C281,L418,CLOSED,Ownership issue resolved,High Court
C282,L420,ONGOING,Boundary dispute ongoing,District Court
C283,L421,ONGOING,Boundary dispute ongoing,District Court
C284,L422,ONGOING,Boundary dispute ongoing,District Court
C285,L424,ONGOING,Boundary dispute ongoing,District Court
C286,L426,ONGOING,Boundary dispute ongoing,District Court
C287,L429,CLOSED,Ownership issue resolved,High Court
C288,L431,ONGOING,Boundary dispute ongoing,District Court
C289,L435,CLOSED,Ownership issue resolved,High Court
C290,L436,CLOSED,Ownership issue resolved,High Court
C291,L438,ONGOING,Boundary dispute ongoing,District Court
C292,L439,CLOSED,Ownership issue resolved,High Court
C293,L440,ONGOING,Boundary dispute ongoing,District Court
C294,L441,CLOSED,Ownership issue resolved,High Court
C295,L444,ONGOING,Boundary dispute ongoing,District Court
C296,L445,CLOSED,Ownership issue resolved,High Court
C297,L447,CLOSED,Ownership issue resolved,High Court
C298,L448,ONGOING,Boundary dispute ongoing,District Court
C299,L449,CLOSED,Ownership issue resolved,High Court
C300,L450,ONGOING,Boundary dispute ongoing,District Court
C301,L451,ONGOING,Boundary dispute ongoing,District Court
C302,L453,ONGOING,Boundary dispute ongoing,District Court
C303,L455,CLOSED,Ownership issue resolved,High Court
C304,L457,CLOSED,Ownership issue resolved,High Court
C305,L460,ONGOING,Boundary dispute ongoing,District Court
C306,L462,ONGOING,Boundary dispute ongoing,District Court
C307,L463,CLOSED,Ownership issue resolved,High Court
C308,L464,CLOSED,Ownership issue resolved,High Court
C309,L466,CLOSED,Ownership issue resolved,High Court
C310,L469,ONGOING,Boundary dispute ongoing,District Court
C311,L470,CLOSED,Ownership issue resolved,High Court
C312,L471,ONGOING,Boundary dispute ongoing,District Court
C313,L473,ONGOING,Boundary dispute ongoing,District Court
C314,L474,ONGOING,Boundary dispute ongoing,District Court
C315,L476,ONGOING,Boundary dispute ongoing,District Court
C316,L477,CLOSED,Ownership issue resolved,High Court
C317,L478,ONGOING,Boundary dispute ongoing,District Court
C318,L479,ONGOING,Boundary dispute ongoing,District Court
C319,L480,ONGOING,Boundary dispute ongoing,District Court
C320,L482,CLOSED,Ownership issue resolved,High Court
C321,L483,ONGOING,Boundary dispute ongoing,District Court
C322,L486,CLOSED,Ownership issue resolved,High Court
C323,L488,ONGOING,Boundary dispute ongoing,District Court
C324,L489,ONGOING,Boundary dispute ongoing,District Court
C325,L490,CLOSED,Ownership issue resolved,High Court
C326,L492,CLOSED,Ownership issue resolved,High Court
C327,L493,CLOSED,Ownership issue resolved,High Court
C328,L494,CLOSED,Ownership issue resolved,High Court
C329,L495,ONGOING,Boundary dispute ongoing,District Court
C330,L496,CLOSED,Ownership issue resolved,High Court
C331,L497,ONGOING,Boundary dispute ongoing,District Court
C332,L498,ONGOING,Boundary dispute ongoing,District Court
C333,L499,CLOSED,Ownership issue resolved,High Court
C334,L500,ONGOING,Boundary dispute ongoing,District Court
C335,L401,Ongoing,Boundary Dispute,High Court
C336,L403,Ongoing,Boundary Dispute,High Court
C337,L501,ONGOING,"This case pertains to a legal dispute concerning the ownership and boundary demarcation of the specified land parcel. The claimant asserts rightful ownership based on duly registered title deeds and supporting revenue records. However, the opposing party has contested the claim, citing discrepancies in survey numbers and alleging unauthorized encroachment on the property.
The matter is currently under judicial consideration, with both parties having submitted relevant documentation for verification. The court has directed the appropriate revenue authorities to conduct a detailed land survey and authenticate the records. The final adjudication of this case will determine the legitimate ownership and may necessitate updates to the official land registry.",Madras High Court
C001,L502,PENDING,"This judicial case pertains to a land ownership conflict arising due to unclear boundary demarcation and overlapping survey records. The plaintiff asserts ownership through valid registration and revenue documents, whereas the opposing party disputes the claim, alleging partial encroachment and manipulation of land records. The court has initiated proceedings and directed the concerned revenue authorities to conduct a detailed survey and submit verification reports. The final judgment will determine the rightful ownership and update official land records accordingly.",Madras High Court
